endTime,artistName,trackName,msPlayed
2022-01-11 03:11,CRIM,WHEN SUMMER ENDS,0
2022-01-11 03:11,BNXN fka Buju,Outside,0
2022-01-11 03:11,Rihanna,We Found Love,0
2022-01-11 03:11,XXXTENTACION,Everybody Dies In Their Nightmares,55430
2022-01-11 03:11,PinkPantheress,Just for me,0
2022-01-11 03:11,Frank Ocean,Provider,0
2022-01-11 03:11,Central Cee,Commitment Issues,1160
2022-01-11 03:11,J. Cole,Power Trip (feat. Miguel),1010
2022-01-11 03:11,Drake,Feel No Ways,0
2022-01-11 03:14,Adam Christopher,Iris - Acoustic,184200
2022-01-11 03:15,Kanye West,Keep My Spirit Alive,30
2022-01-11 03:15,Papithbk,Sad Nibba Hours,20
2022-01-11 03:15,Mac Miller,Good News,760
2022-01-11 03:15,Harold Melvin & The Blue Notes,I Miss You (feat. Teddy Pendergrass),1000
2022-01-11 03:15,Samm Henshaw,How Does It Feel?,0
2022-01-11 03:15,Rema,Peace Of Mind,2850
2022-01-11 03:15,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),220
2022-01-11 03:17,Powfu,I Can't Sleep,152500
2022-01-11 03:20,Olamide,Rock,185769
2022-01-11 03:22,Miguel,Sure Thing,92670
2022-01-11 03:49,5 Seconds of Summer,Ghost Of You,265400
2022-01-11 03:52,5 Seconds of Summer,Ghost Of You,197411
2022-01-11 03:55,5 Seconds of Summer,Ghost Of You,197411
2022-01-11 03:59,5 Seconds of Summer,Ghost Of You,197411
2022-01-11 06:46,5 Seconds of Summer,Ghost Of You,268273
2022-01-11 06:49,5 Seconds of Summer,Ghost Of You,197411
2022-01-11 07:26,5 Seconds of Summer,Ghost Of You,326893
2022-01-11 07:43,5 Seconds of Summer,Ghost Of You,141773
2022-01-11 07:45,The Weeknd,Dawn FM,96240
2022-01-11 07:48,The Weeknd,Don’t Break My Heart,205469
2022-01-11 07:50,The Weeknd,A Tale By Quincy,96232
2022-01-11 07:52,The Weeknd,Sacrifice,142581
2022-01-11 08:00,The Weeknd,I Heard You’re Married (feat. Lil Wayne),263641
2022-01-11 08:07,The Weeknd,How Do I Make You Love Me?,57640
2022-01-11 08:11,5 Seconds of Summer,Ghost Of You,197411
2022-01-11 08:14,Måneskin,Beggin',211560
2022-01-11 08:17,Juice WRLD,Screw Juice,179464
2022-01-11 08:17,Justin Timberlake,Suit & Tie (feat. JAY Z) (feat. Jay-Z) - [Radio Edit],849
2022-01-11 08:18,Juice WRLD,Tell Me U Luv Me (with Trippie Redd),15348
2022-01-11 08:21,Mac Miller,Kool Aid & Frozen Pizza,1137
2022-01-11 08:21,The Goo Goo Dolls,Iris,158685
2022-01-11 08:25,Kevo Muney,Leave Some Day,1532
